time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446050000	15.6992	3.86807	5.19834	0.624436	0.337331	radar	0.997637	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9209	4.01168	5.2051	0.634952	0.329946	lidar	0.183416	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.116	4.16783	5.09036	0.658493	0.342766	radar	1.64334	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3125	4.36417	5.12878	0.691398	0.361002	lidar	0.443389	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5234	4.52844	5.16861	0.704839	0.354505	radar	0.643066	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7	4.69524	5.14265	0.725633	0.358054	lidar	0.512176	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8541	4.8715	4.933	0.762185	0.389291	radar	3.76865	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0158	5.10017	4.98486	0.806001	0.417372	lidar	0.856964	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1876	5.261	4.94393	0.819972	0.410458	radar	1.46491	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3432	5.4442	4.93256	0.843425	0.413809	lidar	0.157476	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5016	5.60163	4.85922	0.856908	0.40759	radar	2.78581	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6893	5.72756	4.81138	0.848597	0.374745	lidar	1.28134	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8369	5.91129	4.74533	0.874086	0.386295	radar	0.673343	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0072	6.11088	4.79007	0.893503	0.386562	lidar	0.934504	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
